date,datetime,stockid,userid,artid,reply,likes
2021/08/25,2021/08/25 12:27,4976,5763606,131364642,3,4
2021/08/25,2021/08/25 12:16,4976,4294362,131363344,0,4
2021/08/25,2021/08/25 11:32,4976,1623851,131357381,2,11
2021/08/25,2021/08/25 10:55,4976,12081814,131352848,0,9
2021/08/25,2021/08/25 10:54,4976,1623851,131352631,1,5
2021/08/25,2021/08/25 10:24,4976,6051035,131348799,2,9
2021/08/25,2021/08/25 10:21,4976,11742824,131348521,0,5
2021/08/25,2021/08/25 10:19,4976,3850113,131348227,1,2
2021/08/25,2021/08/25 10:13,4976,13172095,131347390,0,7
2021/08/25,2021/08/25 10:10,4976,7162949,131347006,2,4
2021/08/25,2021/08/25 10:07,4976,6904559,131346633,0,5
2021/08/25,2021/08/25 10:04,4976,6904559,131346230,2,6
2021/08/25,2021/08/25 10:04,4976,478112,131346165,0,5
2021/08/25,2021/08/25 10:04,4976,5340114,131346109,0,8
2021/08/25,2021/08/25 10:03,4976,6009584,131345951,1,6
2021/08/25,2021/08/25 10:02,4976,6035224,131345927,2,4
2021/08/25,2021/08/25 10:02,4976,4655592,131345873,0,4
2021/08/25,2021/08/25 10:01,4976,11368474,131345680,0,7
2021/08/25,2021/08/25 09:42,4976,9844457,131343095,4,22
2021/08/25,2021/08/25 09:31,4976,8643207,131341840,6,3
2021/08/24,2021/08/24 23:32,4976,5648004,131320234,1,7
2021/08/24,2021/08/24 17:56,4976,8742901,131292957,1,3
2021/08/24,2021/08/24 15:55,4976,7059321,131278326,5,2
2021/08/24,2021/08/24 12:00,4976,8742901,131252060,3,6
2021/08/24,2021/08/24 11:55,4976,8703990,131251323,0,7
2021/08/24,2021/08/24 10:13,4976,6853273,131237705,2,5
2021/08/24,2021/08/24 09:20,4976,1501648,131229927,1,4
2021/08/24,2021/08/24 08:11,4976,4233212,131222829,1,4
2021/08/24,2021/08/24 08:07,4976,6904559,131222617,2,5
2021/08/24,2021/08/24 07:58,4976,5161517,131221209,7,20
2021/08/24,2021/08/24 07:27,4976,8953105,131219553,2,20
2021/08/24,2021/08/24 05:17,4976,896428,131216066,4,23
2021/08/24,2021/08/24 01:47,4976,819484,131214412,1,16
2021/08/23,2021/08/23 21:25,4976,8756719,131200945,0,6
2021/08/23,2021/08/23 18:04,4976,8742901,131184465,0,4
2021/08/23,2021/08/23 17:53,4976,1623851,131183660,3,2
2021/08/23,2021/08/23 12:37,4976,6904559,131149734,0,14
2021/08/23,2021/08/23 09:44,4976,7509594,131127206,5,12
2021/08/22,2021/08/22 15:43,4976,1977802,131081163,5,69
2021/08/22,2021/08/22 07:10,4976,819484,131064627,2,16
2021/08/21,2021/08/21 21:59,4976,13339824,131054348,11,5
2021/08/21,2021/08/21 21:12,4976,4622397,131052609,7,47
2021/08/21,2021/08/21 03:07,4976,8742901,131011492,3,8
2021/08/20,2021/08/20 22:49,4976,6547495,131003795,10,52
2021/08/20,2021/08/20 13:17,4976,4603199,130951123,1,5
2021/08/20,2021/08/20 12:53,4976,13202369,130948005,0,7
2021/08/20,2021/08/20 12:29,4976,5315669,130945044,3,6
2021/08/20,2021/08/20 10:22,4976,7162949,130928736,1,5
2021/08/19,2021/08/19 21:21,4976,8742901,130883823,8,6
2021/08/19,2021/08/19 18:40,4976,5481735,130866333,32,65
2021/08/19,2021/08/19 11:21,4976,8703990,130808549,0,1
2021/08/19,2021/08/19 09:36,4976,6024362,130793622,7,7
2021/08/18,2021/08/18 20:47,4976,3880505,130754684,0,8
2021/08/18,2021/08/18 18:23,4976,1764325,130742034,1,16
2021/08/18,2021/08/18 17:46,4976,9844457,130739179,3,38
2021/08/18,2021/08/18 12:46,4976,6904559,130698499,4,8
2021/08/18,2021/08/18 12:41,4976,1623851,130697376,0,3
2021/08/18,2021/08/18 12:02,4976,478112,130691079,0,8
2021/08/18,2021/08/18 11:59,4976,6273390,130690474,0,7
2021/08/18,2021/08/18 10:50,4976,5481735,130679488,30,77
2021/08/18,2021/08/18 10:31,4976,7162949,130676209,3,2
2021/08/18,2021/08/18 09:57,4976,7827067,130670092,3,9
2021/08/18,2021/08/18 09:52,4976,5481735,130669138,29,28
2021/08/18,2021/08/18 09:36,4976,5481735,130666842,8,20
2021/08/18,2021/08/18 09:33,4976,3850113,130666289,0,7
2021/08/18,2021/08/18 09:21,4976,5481735,130664641,3,16
2021/08/17,2021/08/17 18:26,4976,3880505,130611941,0,2
2021/08/17,2021/08/17 16:58,4976,3959510,130604198,9,9
2021/08/17,2021/08/17 15:35,4976,8742901,130591922,1,3
2021/08/17,2021/08/17 15:28,4976,4578901,130591235,2,3
2021/08/17,2021/08/17 14:56,4976,6273390,130587837,5,11
2021/08/17,2021/08/17 12:59,4976,5202053,130569750,5,10
2021/08/17,2021/08/17 12:42,4976,8742901,130567265,5,2
2021/08/17,2021/08/17 11:48,4976,2262214,130559557,10,3
2021/08/17,2021/08/17 11:47,4976,2262214,130559512,0,1
2021/08/17,2021/08/17 11:30,4976,2262214,130557421,3,3
2021/08/17,2021/08/17 11:29,4976,2262214,130557315,0,3
2021/08/17,2021/08/17 10:22,4976,520083,130548731,0,1
2021/08/17,2021/08/17 09:53,4976,11420480,130544516,1,2
2021/08/17,2021/08/17 09:01,4976,4678855,130538091,6,1
2021/08/17,2021/08/17 09:00,4976,6474447,130538056,0,2
2021/08/17,2021/08/17 09:00,4976,11420480,130537564,0,0
2021/08/17,2021/08/17 08:29,4976,8742901,130534952,0,3
2021/08/17,2021/08/17 00:22,4976,5433171,130522915,0,4
2021/08/16,2021/08/16 22:57,4976,13205991,130517635,1,6
2021/08/16,2021/08/16 21:05,4976,6494648,130507491,5,7
2021/08/16,2021/08/16 20:00,4976,5164782,130500392,0,8
2021/08/16,2021/08/16 19:58,4976,1764325,130500231,3,18
2021/08/16,2021/08/16 19:52,4976,12962340,130499690,1,2
2021/08/16,2021/08/16 19:39,4976,11553481,130498269,1,12
2021/08/16,2021/08/16 19:03,4976,5760612,130494592,1,4
2021/08/16,2021/08/16 17:29,4976,8756719,130487825,5,5
2021/08/16,2021/08/16 16:35,4976,4174475,130481229,2,10
2021/08/16,2021/08/16 14:56,4976,11553481,130468268,0,9
2021/08/16,2021/08/16 14:20,4976,2442338,130464122,10,22
2021/08/16,2021/08/16 13:50,4976,8742901,130459506,1,6
2021/08/16,2021/08/16 13:34,4976,12671880,130457430,0,3
2021/08/16,2021/08/16 12:10,4976,8742901,130446054,0,8
2021/08/16,2021/08/16 11:17,4976,478112,130438367,4,16
