date,datetime,stockid,userid,artid,reply,likes,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2021-08-25,2021/08/25 10:15,2013,7013543,131347705,5,5,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 10:15,2013,1210986,131347599,6,12,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 10:08,2013,2117113,131346718,4,44,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:58,2013,4204645,131344979,2,11,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:57,2013,9068214,131344972,32,117,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:50,2013,1703020,131344091,1,3,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:45,2013,5677501,131343502,2,10,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:41,2013,9799823,131343010,1,10,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:37,2013,5907392,131342450,1,6,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:36,2013,5907392,131342390,1,7,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:35,2013,5884422,131342282,2,20,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:34,2013,4285023,131342087,2,4,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:32,2013,5741919,131341971,1,6,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:28,2013,7196073,131341376,1,6,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:27,2013,12941339,131341217,1,3,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:27,2013,9976807,131341181,3,15,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:24,2013,13061354,131340831,1,2,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:22,2013,400940,131340661,4,16,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:22,2013,10326411,131340647,1,4,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 09:18,2013,5907392,131340233,1,4,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 08:37,2013,5370095,131335493,0,4,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 08:31,2013,5102264,131335042,6,0,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 08:11,2013,5078417,131333838,3,44,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 01:45,2013,4301365,131324985,1,24,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 01:30,2013,1729938,131324724,3,2,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 00:20,2013,4166796,131322717,3,88,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-25,2021/08/25 00:04,2013,4376173,131321916,2,0,2013,9938047.0,643895396.0,62.4,66.6,62.0,66.6,6.0,5018.0
2021-08-24,2021/08/24 21:40,2013,5436608,131312068,3,6,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 20:35,2013,6064732,131306131,33,268,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 19:08,2013,7192751,131298578,0,14,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 16:38,2013,4784669,131284858,0,4,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 15:32,2013,432166,131276052,3,13,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 15:07,2013,4481824,131273662,14,22,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 14:57,2013,7669271,131272850,9,32,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 14:53,2013,5921717,131272413,1,11,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 14:07,2013,10326411,131268302,3,8,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 13:08,2013,2105094,131260358,9,4,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 13:07,2013,5144902,131260211,14,7,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 13:04,2013,4309899,131259920,19,66,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 12:42,2013,5218020,131257173,13,42,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 12:40,2013,708348,131256919,0,10,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 12:37,2013,7257934,131256600,6,11,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 12:37,2013,5633214,131256573,2,4,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 12:37,2013,5907392,131256509,0,3,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 12:36,2013,5884422,131256490,4,34,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 11:39,2013,1176933,131249149,14,193,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 11:32,2013,3723387,131248312,1,5,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 11:30,2013,10326411,131248110,0,3,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 11:29,2013,10607397,131248029,3,4,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 11:27,2013,8665657,131247752,7,15,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 11:10,2013,7481540,131245689,2,18,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 11:08,2013,12702280,131245405,4,1,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 11:03,2013,10326411,131244936,4,2,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 10:57,2013,3993197,131243849,0,3,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 10:21,2013,9509777,131238919,5,23,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 10:20,2013,708348,131238725,5,9,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 10:12,2013,5741919,131237619,2,1,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 10:10,2013,2105094,131237331,0,1,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 09:48,2013,831882,131233869,0,2,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 09:40,2013,6803511,131232715,1,15,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 09:38,2013,4575286,131232515,2,6,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 09:17,2013,4575286,131229415,0,21,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 09:17,2013,10326411,131229392,0,1,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-24,2021/08/24 07:09,2013,6337225,131218856,1,3,2013,18909148.0,1106547715.0,54.9,60.6,54.7,60.6,5.5,10910.0
2021-08-23,2021/08/23 22:22,2013,10607397,131205415,3,5,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 22:01,2013,11073722,131203834,3,4,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 17:23,2013,7669271,131181211,2,5,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 16:44,2013,1033901,131178063,2,6,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 13:03,2013,10326411,131152671,0,3,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 13:00,2013,708348,131152214,0,11,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 12:46,2013,1853137,131150770,6,5,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 12:30,2013,10326411,131148874,1,4,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 12:02,2013,6511176,131145691,0,2,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 11:57,2013,10326411,131144911,0,3,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 11:56,2013,5852511,131144823,13,36,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 11:25,2013,12702280,131140885,6,2,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 11:23,2013,5741919,131140673,0,4,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 11:23,2013,10326411,131140608,0,2,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 11:18,2013,8887976,131139984,10,7,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 10:54,2013,10326411,131136624,1,5,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 10:53,2013,10326411,131136390,0,7,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 10:52,2013,10326411,131136329,0,0,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 10:51,2013,10326411,131136229,0,1,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 10:49,2013,10326411,131136019,0,1,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 09:57,2013,5741919,131128978,1,3,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-23,2021/08/23 09:54,2013,5907392,131128513,0,2,2013,14653048.0,810105491.0,52.6,57.2,52.5,55.1,1.4,8353.0
2021-08-22,2021/08/22 12:18,2013,6777443,131073683,1,24,,,,,,,,,
2021-08-22,2021/08/22 10:30,2013,4240648,131069842,5,30,,,,,,,,,
2021-08-22,2021/08/22 00:39,2013,1603831,131060293,20,247,,,,,,,,,
2021-08-21,2021/08/21 18:24,2013,5852511,131043953,22,84,,,,,,,,,
2021-08-21,2021/08/21 10:03,2013,4763091,131019822,38,264,,,,,,,,,
2021-08-21,2021/08/21 08:46,2013,4285023,131016592,4,4,,,,,,,,,
2021-08-21,2021/08/21 00:15,2013,5144902,131008042,9,8,,,,,,,,,
2021-08-20,2021/08/20 18:35,2013,1966420,130983621,5,9,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 17:25,2013,9953344,130978932,6,12,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 16:32,2013,5476893,130974355,1,11,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 14:00,2013,522795,130957010,1,5,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 13:38,2013,4058275,130954037,2,4,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 13:38,2013,1604960,130954010,0,6,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 13:37,2013,1001711,130953917,3,84,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 13:32,2013,9697080,130953168,0,9,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 13:27,2013,4434825,130952612,4,1,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 13:24,2013,4489333,130952158,2,8,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 13:17,2013,1966420,130951142,4,3,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 13:16,2013,7411516,130951029,0,1,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 13:02,2013,9697080,130949125,2,6,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 12:57,2013,863367,130948490,7,0,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 12:47,2013,4489333,130947256,0,0,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 11:34,2013,12702280,130938153,2,6,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 10:33,2013,4489333,130930175,2,4,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 08:36,2013,9068214,130914674,22,76,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 06:42,2013,370103,130907964,0,10,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 06:31,2013,5921717,130907655,0,28,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 06:24,2013,7397240,130907427,0,0,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-20,2021/08/20 00:27,2013,2142600,130900966,1,31,2013,14021174.0,736867658.0,51.3,54.2,50.5,53.7,1.2,8188.0
2021-08-19,2021/08/19 22:26,2013,9980456,130889983,0,3,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 21:33,2013,4763091,130884963,38,260,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 21:02,2013,11935636,130881788,2,7,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 20:55,2013,9068214,130880634,27,105,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 20:40,2013,7411516,130879084,2,0,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 18:27,2013,12199056,130865241,5,21,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 17:55,2013,7758725,130862633,0,6,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 17:12,2013,11615734,130858283,2,3,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 16:54,2013,4793696,130856380,5,9,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 16:37,2013,11958176,130854272,4,15,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 15:58,2013,6924505,130846612,0,1,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 15:27,2013,328910,130843340,4,19,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 14:38,2013,5907392,130837810,0,7,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 12:24,2013,4489333,130817861,0,2,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 12:16,2013,6573800,130816707,1,3,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 12:05,2013,9068214,130815146,25,102,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 11:58,2013,708348,130813941,0,10,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 11:55,2013,5360663,130813395,1,4,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 11:47,2013,6944544,130812352,6,5,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 11:27,2013,6573800,130809505,0,6,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 11:18,2013,9154107,130808164,0,2,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 11:10,2013,1604960,130807076,0,1,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 11:07,2013,5741919,130806698,0,4,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
2021-08-19,2021/08/19 10:58,2013,6573800,130805219,1,7,2013,20008637.0,1060197553.0,51.6,54.7,50.1,52.5,0.6,12005.0
