date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,datetime,stockid,userid,artid,reply,likes
2021-08-13,6104,18018000,1818321300,103.0,106.0,96.3,97.7,-5.3,10521,2021/08/13 10:49,6104.0,5240737.0,130198542.0,0.0,8.0
2021-08-13,6104,18018000,1818321300,103.0,106.0,96.3,97.7,-5.3,10521,2021/08/13 10:45,6104.0,6426665.0,130197992.0,1.0,7.0
2021-08-13,6104,18018000,1818321300,103.0,106.0,96.3,97.7,-5.3,10521,2021/08/13 09:49,6104.0,4714671.0,130187762.0,0.0,12.0
2021-08-13,6104,18018000,1818321300,103.0,106.0,96.3,97.7,-5.3,10521,2021/08/13 09:38,6104.0,5955094.0,130185702.0,4.0,8.0
2021-08-13,6104,18018000,1818321300,103.0,106.0,96.3,97.7,-5.3,10521,2021/08/13 07:27,6104.0,5701554.0,130171422.0,2.0,14.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 20:39,6104.0,13264670.0,130504041.0,14.0,19.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 20:33,6104.0,6905785.0,130503561.0,1.0,33.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 20:11,6104.0,558812.0,130501422.0,2.0,14.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 19:52,6104.0,621185.0,130499564.0,3.0,40.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 19:41,6104.0,1537285.0,130498431.0,0.0,7.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 19:03,6104.0,4562850.0,130494598.0,4.0,0.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 17:42,6104.0,4774170.0,130489008.0,14.0,106.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 15:12,6104.0,5503435.0,130470013.0,5.0,20.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 15:07,6104.0,1755388.0,130469453.0,0.0,12.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 14:13,6104.0,5825244.0,130463208.0,1.0,24.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 13:46,6104.0,5447331.0,130459086.0,1.0,11.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 13:25,6104.0,11008993.0,130456199.0,10.0,28.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 12:17,6104.0,929581.0,130446899.0,0.0,5.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 10:34,6104.0,0.0,130431630.0,4.0,0.0
2021-08-16,6104,15815000,1580502700,99.2,103.5,96.0,102.5,4.8,8893,2021/08/16 08:39,6104.0,5775347.0,130414582.0,1.0,33.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 21:54,6104.0,929581.0,130631770.0,5.0,7.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 18:47,6104.0,6904559.0,130613534.0,1.0,4.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 15:52,6104.0,662117.0,130593868.0,13.0,89.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 15:51,6104.0,1764519.0,130593837.0,2.0,6.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 15:30,6104.0,4448959.0,130591369.0,0.0,5.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 15:08,6104.0,5503435.0,130589171.0,5.0,27.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 14:44,6104.0,4103494.0,130586354.0,3.0,17.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 13:35,6104.0,1764519.0,130576226.0,3.0,7.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 13:06,6104.0,4562850.0,130571059.0,4.0,8.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 12:48,6104.0,5613090.0,130568336.0,4.0,9.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 12:44,6104.0,4918859.0,130567489.0,1.0,3.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 12:35,6104.0,5284270.0,130566168.0,0.0,4.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 11:24,6104.0,5284270.0,130556776.0,12.0,8.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 10:27,6104.0,4964189.0,130549360.0,0.0,8.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 09:57,6104.0,5613090.0,130545034.0,2.0,7.0
2021-08-17,6104,20980000,2152758400,104.5,106.5,96.9,97.0,-5.5,12047,2021/08/17 09:40,6104.0,11387141.0,130542920.0,2.0,3.0
