date,stock_id,deal_price,volume,Time,TickType
2021-01-22,2603,33.5,6166,08:50:25.718,0
2021-01-22,2603,33.5,6166,08:50:30.737,0
2021-01-22,2603,33.5,6166,08:50:35.756,0
2021-01-22,2603,33.5,6166,08:50:40.775,0
2021-01-22,2603,33.5,6166,08:50:45.793,0
2021-01-22,2603,33.5,6166,08:50:50.812,0
2021-01-22,2603,33.5,6166,08:50:55.832,0
2021-01-22,2603,33.5,6166,08:51:00.852,0
2021-01-22,2603,33.5,6166,08:51:05.871,0
2021-01-22,2603,33.5,6166,08:51:11.051,0
2021-01-22,2603,33.5,6166,08:51:16.233,0
2021-01-22,2603,33.5,6167,08:51:21.423,0
2021-01-22,2603,33.5,6166,08:51:26.619,0
2021-01-22,2603,33.5,6166,08:51:31.621,0
2021-01-22,2603,33.5,6162,08:51:36.627,0
2021-01-22,2603,33.5,6162,08:51:41.635,0
2021-01-22,2603,33.5,6162,08:51:46.644,0
2021-01-22,2603,33.5,6162,08:51:51.655,0
2021-01-22,2603,33.45,6098,08:51:56.666,0
2021-01-22,2603,33.45,6099,08:52:01.679,0
2021-01-22,2603,33.45,6099,08:52:06.692,0
2021-01-22,2603,33.45,6100,08:52:11.706,0
2021-01-22,2603,33.45,6104,08:52:16.721,0
2021-01-22,2603,33.45,6104,08:52:21.734,0
2021-01-22,2603,33.45,6104,08:52:26.745,0
2021-01-22,2603,33.45,6104,08:52:31.758,0
2021-01-22,2603,33.45,6105,08:52:36.770,0
2021-01-22,2603,33.45,6105,08:52:41.782,0
2021-01-22,2603,33.45,6105,08:52:46.796,0
2021-01-22,2603,33.45,6107,08:52:51.811,0
2021-01-22,2603,33.45,6108,08:52:56.826,0
2021-01-22,2603,33.45,6108,08:53:01.842,0
2021-01-22,2603,33.45,6108,08:53:06.855,0
2021-01-22,2603,33.4,5738,08:53:11.870,0
2021-01-22,2603,33.4,5738,08:53:16.885,0
2021-01-22,2603,33.4,5758,08:53:21.898,0
2021-01-22,2603,33.4,5758,08:53:26.911,0
2021-01-22,2603,33.4,5758,08:53:31.925,0
2021-01-22,2603,33.4,5759,08:53:36.936,0
2021-01-22,2603,33.4,5751,08:53:41.946,0
2021-01-22,2603,33.4,5741,08:53:46.960,0
2021-01-22,2603,33.4,5746,08:53:51.972,0
2021-01-22,2603,33.4,5746,08:53:56.985,0
2021-01-22,2603,33.4,5746,08:54:01.997,0
2021-01-22,2603,33.4,5752,08:54:07.008,0
2021-01-22,2603,33.4,5752,08:54:12.022,0
2021-01-22,2603,33.4,5753,08:54:17.037,0
2021-01-22,2603,33.4,5753,08:54:22.052,0
2021-01-22,2603,33.4,5754,08:54:27.066,0
2021-01-22,2603,33.4,5754,08:54:32.079,0
2021-01-22,2603,33.4,5754,08:54:37.093,0
2021-01-22,2603,33.4,5755,08:54:42.106,0
2021-01-22,2603,33.4,5755,08:54:47.117,0
2021-01-22,2603,33.4,5754,08:54:52.130,0
2021-01-22,2603,33.4,5754,08:54:57.142,0
2021-01-22,2603,33.4,5759,08:55:02.155,0
2021-01-22,2603,33.35,5763,08:55:07.168,0
2021-01-22,2603,33.35,5764,08:55:12.183,0
2021-01-22,2603,33.35,5764,08:55:17.197,0
